video_id,category,duration,upload_date,creator,quality_score,popularity_weight,content_embedding
0,Beauty,421,2026-04-13 07:45:50.513160,channel_280,0.0054209922197237265,0.0015260957274292606,"[0.1915364813555531, 0.007575928811510121, 0.39362888865973, 0.17317159801877616, 0.23295062222242766, 0.027979487142830106, 0.03321282866515928, 0.3654137340677081, -0.07984276092400985, 0.11540363340862693, -0.056192279988489115, -0.056698514613443066, -0.24670806444459215, -0.1567155988867922, -0.1959212004982129, 0.12544789705750797, 0.21954659168408588, -0.019998713384792612, 0.04846543175253032, -0.03218071098666168, -0.1711229334522313, 0.1819898378705076, 0.13772442944557858, -0.3994420810391162, -0.059753184066569785, -0.18616130833339173, -0.08251176829420738, -0.14150175605495907, -0.009797515957623598, -0.06963203504194805, -0.07411200074738883, 0.23372617720737057]"
1,Cooking,688,2026-04-30 07:45:50.513160,channel_1218,0.33653582424191936,0.0030082734289014765,"[0.10946060335801504, -0.1382837114217875, -0.10914000276731564, 0.09661526610991107, 0.09634543819873695, -0.11861572226042758, -0.045968665685241404, 0.36281451122039177, -0.11523037797412923, 0.37538735403242957, 0.21682102701144926, 0.3389668697728965, -0.12358441282662791, -0.0331136652869766, -0.08824053214116695, 0.22135643902023985, -0.1115243864483317, 0.14365103105330934, 0.13325539552660923, -0.009435647454016453, 0.2551283602420151, 0.0211542622533842, 0.16386041400348142, -0.09718701211554097, -0.1421228696526491, 0.14363728625020192, 0.08464077400064277, 0.04779903753875057, -0.06751933731130685, 0.3043501411644838, -0.21935900360544106, -0.23011633724511343]"
2,Travel,26,2026-04-16 07:45:50.513160,channel_1218,0.17008066023317236,0.0037638846300737687,"[0.13644873576545005, 0.12456297651161959, 0.05123349608561935, -0.041702519060214514, 0.07276300311344296, 0.24921828277902433, 0.3643125688960096, -0.2398891860174427, -0.06066987134958303, -0.0697725426446213, 0.2355597703748955, -0.35935215497721273, 0.07441589368898041, -0.03719240890358255, 0.2372387603379875, 0.2173871082562333, 0.052934307903662575, -0.22878250784415027, -0.08311322245540999, -0.06725517725094943, -0.19210307176195268, 0.1672120211564695, -0.21049167742023944, 0.28462745430218905, 0.2842646872706886, -0.05576613649102997, 0.04757415776654357, -0.010468414176668245, 0.1306062709901632, 0.18460443074845503, 0.037364269705120176, 0.0679395644243828]"
3,History,350,2025-08-07 07:45:50.513160,channel_666,0.33012732998978944,0.009426431945474193,"[-0.1119271920479555, 0.07876221753920018, 0.02935445907220574, -0.16444391825945734, -0.002531620107266427, -0.0691077160955927, -0.10992371951408123, -0.20677193024699486, 0.011272490110731871, -0.14076001257208193, -0.08496527971297431, 0.1939007644965074, 0.11400337441150094, -0.17652247806015217, 0.06346424191078773, 0.023947258467953664, 0.30690423738107786, 0.24945290443232998, -0.27661458058006916, 0.15530605827537639, 0.22818079731213778, 0.10088152662971396, -0.060492235719049034, 0.43526030986311287, 0.11748293707380206, 0.3564736231629032, 0.24374177638439964, 0.08370759317887838, -0.10455019248015855, -0.004347361890717735, -0.040022344616178124, -0.21904086757626046]"
4,Education,186,2026-01-14 07:45:50.513160,channel_92,0.10954250150083814,0.01684909230345455,"[0.09801744834853851, 0.23624833891841893, -0.044963518105517394, 0.3261296295683641, -0.2347756666352356, 0.15892503897412244, 0.25194954715968926, -0.03075368840655325, -0.028044441954059706, 0.15717680724587196, 0.07626843416000482, -0.30107136773859755, -0.1271222925526229, -0.002042333931989732, -0.20645567358830336, -0.07147266408671009, -0.20268548162701286, -0.05579610749798852, -0.05073940591072519, 0.05302025641202849, -0.01383095438491427, 0.0757858863144667, 0.05781188701878293, 0.15545468072634291, 0.13170599842144445, 0.11577990402121416, 0.46799908611535773, 0.052364270040014094, 0.39093105311107834, 0.06213400087918166, -0.012488182927709299, -0.05624747860236023]"
5,News,631,2025-10-08 07:45:50.513160,channel_671,0.24302791863297946,0.0012079647832349638,"[0.22266673738591058, 0.24195488911978844, 0.08846104006546136, 0.16718477104401275, -0.18837494488196638, -0.2284267450171045, 0.18381850642154277, -0.018703199302883642, 0.11051326324869515, -0.10579150713797912, 0.2443862433922886, -0.22719357397904713, -0.204357447487981, 0.2130189127352922, -0.3849208629369184, 0.05583444014880264, -0.01582931768188942, -0.10854422232804391, -0.02948876796356284, -0.1249997127015808, 0.22746455023393494, 0.26614202373755086, -0.10113820093024274, 0.040636667663506376, -0.19543314082159446, 0.15826252921933845, 0.15442149638731598, -0.043547694619690595, 0.002490346838341469, -0.013829297178463503, -0.23870342931982813, 0.22801736572627365]"
6,Anime,190,2026-02-06 07:45:50.513160,channel_60,0.5839507079214334,0.05737123983897731,"[-0.12246852186169609, -0.1213820517966968, -0.02401932256187534, 0.15897105261395333, -0.09442039886279233, -0.31172857267531195, -0.14163750263318098, 0.06772753220534602, 0.3496634050140889, -0.20118636720355715, -0.2070278173488405, -0.24153406722985185, -0.26135529549442976, 0.1925270583022835, 0.23867465601315585, 0.028384392209775858, -0.07468524670864281, 0.286013176420594, 0.027769960046807096, 0.1739632831483424, -0.08246752905284181, 0.007064941059699404, -0.1975810188592841, 0.10047964799404491, 0.030489295721442933, -0.1428455233400889, -0.14069683095871216, 0.25803926401316374, 0.3148397388891807, -0.03403384758655816, 0.010819016709704398, 0.06389102464322187]"
7,Movies,898,2025-12-04 07:45:50.513160,channel_633,0.28675074009542045,0.0031191010235804536,"[0.03099282281120165, -0.3505410813933296, 0.08958158876938735, -0.43713305646902473, -0.1533991867591013, 0.10581927955227169, 0.12561841057040013, -0.16960179271764866, -0.09598112617155864, -0.12432919753852989, -0.02153207504165517, -0.005609826215299151, 0.1399545242925655, -0.10822064861195263, 0.07817648157546357, 0.10615188218116263, 0.0415150614613406, -0.05435264267586027, 0.03782102526875652, 0.15738888318950053, 0.17569681151065458, 0.38007738782945644, -0.2072778713279971, -0.09212260446186715, -0.33780554200526547, 0.194921763560617, -0.0700345115292622, 0.04316938912803417, -0.1265279723330037, -0.06840072126372192, 0.25609446697923083, 0.14534889910310972]"
8,Sports,124,2026-02-12 07:45:50.513160,channel_1074,0.20040292224016115,0.0028283478965016404,"[-0.01628388084654507, 0.11211226406267337, 0.11533717234082426, -0.057153953288027914, -0.2145074886678787, -0.13129098496966554, -0.19573713494081488, 0.17002479533622922, 0.19538474451592097, 0.2316342056885342, -0.2948851788862702, 0.15644048477620723, 0.3230128680188782, 0.16236676236633377, -0.3141115534120952, 0.2581978808455969, 0.006087220120523599, -0.03393372969023279, 0.06586662956361716, -0.15317062913758495, 0.00040626758068294127, 0.23660685441959695, 0.090879209831821, 0.008527484454160704, 0.013084125506379492, -0.17250111108687746, -0.02190046528236522, -0.23863145167968303, 0.14929160195667676, -0.3191462730226808, 0.12482818385563672, 0.14300857376361298]"
9,Cooking,26,2025-06-05 07:45:50.513160,channel_1426,0.15816466804653673,0.001212753931461719,"[0.24461467155818134, 0.016111310096780865, 0.17002334496695876, -0.029631043705182172, -0.2201177694794351, 0.28393209597732266, -0.01797113382274433, -0.2614470724111157, -0.08658845049451919, -0.07926349071587531, 0.08563911909639947, 0.435348539405642, 0.09690224925661083, 0.038366999172220626, 0.45551638352470075, 0.18157275293903619, 0.047160110926315675, -0.08892502345554651, 0.058651238337024784, -0.012314606183835486, 0.016959909915174366, 0.24380553860475532, -0.10022314201302292, 0.09525550667728866, 0.17601673655351197, -0.12281375607598806, -0.15258618935239848, -0.027886583833821088, -0.08562663060219797, 0.21374357429028545, -0.185815736573561, 0.012700599579360124]"
